C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-0.18283273011989057,-2.858966397858921,-2.342278136478588,-3.1908235499341795,-3.1581944402582103,-3.1657820669224956,-3.4032528247680003,-3.369167298454206,-3.3187804534388823,-3.5455063765210277,-3.852700485329062,-4.3812872281481345,-4.751922090397611,-4.542617425860619,-4.715778067778036,-4.666315618986186,-5.100802960028827,-5.217428748911355,142
-0.17613385244042237,-2.8630228514944216,-2.350694616019868,-3.1936040559568704,-3.1774985935856974,-3.1781479954957437,-3.411444049273958,-3.3781715284224494,-3.3261463157904707,-3.572127677914291,-3.8721848552621814,-4.395330828524195,-4.7769057561529715,-4.568316722836717,-4.740185409534604,-4.668787430354715,-5.142449730695709,-5.207593591759341,143
-0.1679995009724968,-2.867948545194673,-2.360914626891422,-3.19698038469871,-3.2009393511976474,-3.193163765906117,-3.4213905361740506,-3.3891052362410314,-3.3350905772174,-3.6044535438918266,-3.895844447323827,-4.412383771837985,-4.807243064570197,-4.59952301202198,-4.769822895953294,-4.671788915587932,-5.193020809362638,-5.195650900931898,144
-0.1591474126103425,-2.873308858927299,-2.372036403428113,-3.2006546248001237,-3.2264484109518268,-3.2095044572350515,-3.4322146542712098,-3.401003682984782,-3.344824038182,-3.6396316921614966,-3.921591650449735,-4.4309413866206375,-4.840257194318353,-4.633482797311824,-4.802075454703045,-4.675055237753489,-5.24805404202959,-5.182654443266737,145
-0.150295324248188,-2.8786691726599254,-2.3831581799648047,-3.2043288649015373,-3.2519574707060075,-3.2258451485639874,-3.4430387723683693,-3.4129021297285327,-3.3545574991465994,-3.674809840431167,-3.9473388535756433,-4.44949900140329,-4.873271324066509,-4.66744258260167,-4.834328013452796,-4.6783215599190475,-5.3030872746965425,-5.169657985601577,146
-0.14216097278026246,-2.8835948663601765,-2.393378190836359,-3.2077051936433767,-3.2753982283179566,-3.24086091897436,-3.4529852592684613,-3.4238358375471147,-3.363501760573529,-3.7071357064087023,-3.9709984456372887,-4.46655194471708,-4.903608632483734,-4.698648871786933,-4.863965499871486,-4.681323045152263,-5.353658353363471,-5.157715294774133,147
-0.13546209510079432,-2.8876513199956775,-2.4017946703776385,-3.210485699666068,-3.2947023816454437,-3.253226847547608,-3.4611764837744197,-3.4328400675153588,-3.3708676229251178,-3.7337570078019664,-3.9904828155704077,-4.480595545093141,-4.928592298239095,-4.724348168763032,-4.888372841628055,-4.683794856520794,-5.395305124030354,-5.14788013762212,148
-0.13091642810401238,-2.890403913534053,-2.407505852923507,-3.2123724716100375,-3.307801628546239,-3.2616180133651693,-3.4667348146891768,-3.438950080708095,-3.3758658866636955,-3.7518214623188237,-4.00370435231074,-4.490125131062612,-4.9455455000016615,-4.741786977425384,-4.90493496639144,-4.685472157092296,-5.423565432697166,-5.141206280983254,149
-0.12924170868414536,-2.891418026942928,-2.409609972808827,-3.21306759811571,-3.312627666878111,-3.264709495508481,-3.4687826208156665,-3.441201138200156,-3.377707352251593,-3.75847678766714,-4.008575444794019,-4.493636031156627,-4.951791416440502,-4.748211801669409,-4.911036801830582,-4.686090109934429,-5.433977125363887,-5.13874749169525,150
-0.1286145583568823,-2.8926631358157158,-2.412311676538168,-3.214531765483699,-3.3151744213414935,-3.2666970772447845,-3.4703182983795275,-3.4425992728821373,-3.379190645948305,-3.7595145581244602,-4.010440915264073,-4.501245282308627,-4.977245248441932,-4.751622406057345,-4.9150790010046395,-4.69617972544128,-5.446255632216456,-5.190862561927784,151
-0.12691229318288258,-2.8960427170418535,-2.4196448723749513,-3.218505934053955,-3.322087040599247,-3.2720919419576084,-3.4744865660528657,-3.446394209876086,-3.383216728839381,-3.7623313636514735,-4.015504335111364,-4.521898964006912,-5.04633422101724,-4.7608797608246025,-4.926050684477083,-4.723565824674163,-5.479583007959142,-5.3323177525589465,152
-0.12440369187383035,-2.901023152533003,-2.430451687292315,-3.2243626035259108,-3.3322740584527777,-3.2800422689028212,-3.48062927630831,-3.4519867486040097,-3.3891499036262287,-3.766482445480755,-4.022966216991581,-4.552335968614909,-5.148149549022957,-4.774522178376349,-4.942219481173314,-4.763924286701569,-5.528697035369415,-5.540778033489078,153
